C:\Users\Acer\Desktop\Data\IMG\center_2019_09_17_19_15_11_610.jpg, C:\Users\Acer\Desktop\Data\IMG\left_2019_09_17_19_15_11_610.jpg, C:\Users\Acer\Desktop\Data\IMG\right_2019_09_17_19_15_11_610.jpg,0,0,0,7.85E-05
C:\Users\Acer\Desktop\Data\IMG\center_2019_09_17_19_15_11_714.jpg, C:\Users\Acer\Desktop\Data\IMG\left_2019_09_17_19_15_11_714.jpg, C:\Users\Acer\Desktop\Data\IMG\right_2019_09_17_19_15_11_714.jpg,0,0,0,7.96E-05
C:\Users\Acer\Desktop\Data\IMG\center_2019_09_17_19_15_11_814.jpg, C:\Users\Acer\Desktop\Data\IMG\left_2019_09_17_19_15_11_814.jpg, C:\Users\Acer\Desktop\Data\IMG\right_2019_09_17_19_15_11_814.jpg,0,0,0,7.87E-05
C:\Users\Acer\Desktop\Data\IMG\center_2019_09_17_19_15_11_920.jpg, C:\Users\Acer\Desktop\Data\IMG\left_2019_09_17_19_15_11_920.jpg, C:\Users\Acer\Desktop\Data\IMG\right_2019_09_17_19_15_11_920.jpg,0,0,0,8.19E-05
C:\Users\Acer\Desktop\Data\IMG\center_2019_09_17_19_15_12_027.jpg, C:\Users\Acer\Desktop\Data\IMG\left_2019_09_17_19_15_12_027.jpg, C:\Users\Acer\Desktop\Data\IMG\right_2019_09_17_19_15_12_027.jpg,0,0,0,7.87E-05
C:\Users\Acer\Desktop\Data\IMG\center_2019_09_17_19_15_12_132.jpg, C:\Users\Acer\Desktop\Data\IMG\left_2019_09_17_19_15_12_132.jpg, C:\Users\Acer\Desktop\Data\IMG\right_2019_09_17_19_15_12_132.jpg,0,0,0,7.80E-05
C:\Users\Acer\Desktop\Data\IMG\center_2019_09_17_19_15_12_240.jpg, C:\Users\Acer\Desktop\Data\IMG\left_2019_09_17_19_15_12_240.jpg, C:\Users\Acer\Desktop\Data\IMG\right_2019_09_17_19_15_12_240.jpg,0,0,0,7.82E-05
C:\Users\Acer\Desktop\Data\IMG\center_2019_09_17_19_15_12_344.jpg, C:\Users\Acer\Desktop\Data\IMG\left_2019_09_17_19_15_12_344.jpg, C:\Users\Acer\Desktop\Data\IMG\right_2019_09_17_19_15_12_344.jpg,0,0,0,7.84E-05
C:\Users\Acer\Desktop\Data\IMG\center_2019_09_17_19_15_12_446.jpg, C:\Users\Acer\Desktop\Data\IMG\left_2019_09_17_19_15_12_446.jpg, C:\Users\Acer\Desktop\Data\IMG\right_2019_09_17_19_15_12_446.jpg,0,0,0,8.03E-05
C:\Users\Acer\Desktop\Data\IMG\center_2019_09_17_19_15_12_548.jpg, C:\Users\Acer\Desktop\Data\IMG\left_2019_09_17_19_15_12_548.jpg, C:\Users\Acer\Desktop\Data\IMG\right_2019_09_17_19_15_12_548.jpg,0,0,0,7.90E-05
C:\Users\Acer\Desktop\Data\IMG\center_2019_09_17_19_15_12_653.jpg, C:\Users\Acer\Desktop\Data\IMG\left_2019_09_17_19_15_12_653.jpg, C:\Users\Acer\Desktop\Data\IMG\right_2019_09_17_19_15_12_653.jpg,0,0.05407331,0,0.01488601
C:\Users\Acer\Desktop\Data\IMG\center_2019_09_17_19_15_12_756.jpg, C:\Users\Acer\Desktop\Data\IMG\left_2019_09_17_19_15_12_756.jpg, C:\Users\Acer\Desktop\Data\IMG\right_2019_09_17_19_15_12_756.jpg,0,0.3389291,0,0.3178584
C:\Users\Acer\Desktop\Data\IMG\center_2019_09_17_19_15_12_856.jpg, C:\Users\Acer\Desktop\Data\IMG\left_2019_09_17_19_15_12_856.jpg, C:\Users\Acer\Desktop\Data\IMG\right_2019_09_17_19_15_12_856.jpg,0,0.6389464,0,0.9862973
